problem_id,rank,attempt_idx,error
1,0,0,invalid_generation
1,0,4,invalid_generation
1,0,2,invalid_generation
1,0,8,invalid_generation
1,0,34,invalid_generation
1,0,20,invalid_generation
1,1,5,invalid_generation
1,1,1,invalid_generation
1,1,3,invalid_generation
1,1,9,invalid_generation
1,1,11,invalid_generation
1,1,25,invalid_generation
2,0,2,invalid_generation
2,0,0,invalid_generation
2,0,4,invalid_generation
2,1,5,invalid_generation
2,1,1,invalid_generation
3,0,24,invalid_generation
3,0,34,invalid_generation
3,0,4,invalid_generation
3,0,0,invalid_generation
3,0,2,invalid_generation
3,0,28,invalid_generation
3,1,1,invalid_generation
3,1,3,invalid_generation
3,1,5,invalid_generation
3,1,9,invalid_generation
4,0,4,invalid_generation
4,0,2,invalid_generation
4,0,0,invalid_generation
4,1,1,invalid_generation
4,1,3,invalid_generation
4,1,9,invalid_generation
5,0,2,invalid_generation
5,0,4,invalid_generation
5,1,3,invalid_generation
5,1,5,invalid_generation
5,1,1,invalid_generation
5,1,9,invalid_generation
6,0,6,invalid_generation
6,0,0,invalid_generation
6,0,4,invalid_generation
6,0,2,invalid_generation
6,1,29,invalid_generation
6,1,1,invalid_generation
6,1,5,invalid_generation
6,1,3,invalid_generation
