run_id=proof-checkpoint-sweep8-t3-20260721T114752Z sha=db82c5aa0d927c86e7bcf7997aaae8e86eb9befc cutoff_files=32
endpoints=http://127.0.0.1:8000,http://172.17.7.55:8000
[transformers] Unrecognized keys in `rope_parameters` for 'rope_type'='default': {'sliding_attention', 'full_attention'}
2026-07-21 21:19:20,729 INFO Prepared 8/17 saved cases with exact decoded-text round trips (token drift range -1..0)
2026-07-21 21:19:39,751 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:41,341 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:43,262 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:47,096 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:47,628 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:47,947 INFO Completed cand_11_proof_gen_r0-proof_checkpoint-t1-b456d4891cee valid=True tokens=767 latency=27.0s
2026-07-21 21:19:51,131 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:51,160 INFO Completed cand_8_proof_gen_r0-proof_checkpoint-t1-0894161c4352 valid=True tokens=580 latency=30.4s
2026-07-21 21:19:51,493 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:52,826 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:53,052 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:54,905 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
