path,problem_id,stage,detail,success,error,finish_reason,prompt_tokens,completion_tokens,total_tokens,latency_s,output_chars,thinking_budget_applied,thinking_budget_action,thinking_budget_fallback_finalized,parsed_output_score,candidate,round,verifier,meta
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_0_proof_finalize_r0.txt,1,proof_finalize,candidate=0 round=0 budget_fallback=1,True,,length,122045,4956,127001,70.6274561882019,15939,False,finalize,False,,0,0,,
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_0_proof_gen_r0.txt,1,proof_generation,candidate=0 round=0 mode=deepseek_markdown prompt_family=deepseek_math_v2,True,,thinking_budget_reached,1001,121027,122028,1388.11048746109,375235,True,stop,False,,0,0,,
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_0_proof_handoff_r0.txt,1,proof_handoff,candidate=0 round=0 try=2,True,,length,126640,4096,130736,49.8902850151062,13030,False,finalize,False,,0,0,,
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r0_v0_m0.txt,1,proof_meta_verify,candidate=10 round=0 verifier=0 meta=0,True,,stop,3416,14027,17443,176.4316999912262,58122,False,finalize,False,1.0,10,0,0,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r0_v1_m0.txt,1,proof_meta_verify,candidate=10 round=0 verifier=1 meta=0,True,,stop,3599,25715,29314,319.4429512023926,107842,False,finalize,False,1.0,10,0,1,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r0_v2_m0.txt,1,proof_meta_verify,candidate=10 round=0 verifier=2 meta=0,True,,stop,3513,18613,22126,84.73394346237183,83921,False,finalize,False,0.5,10,0,2,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r0_v3_m0.txt,1,proof_meta_verify,candidate=10 round=0 verifier=3 meta=0,True,,stop,3462,13410,16872,100.46405911445618,61087,False,finalize,False,1.0,10,0,3,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r1_v0_m0.txt,1,proof_meta_verify,candidate=10 round=1 verifier=0 meta=0,True,,stop,4249,9612,13861,115.5520453453064,40129,False,finalize,False,1.0,10,1,0,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r1_v1_m0.txt,1,proof_meta_verify,candidate=10 round=1 verifier=1 meta=0,True,,stop,4198,4654,8852,35.59611487388611,19437,False,finalize,False,0.0,10,1,1,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r1_v2_m0.txt,1,proof_meta_verify,candidate=10 round=1 verifier=2 meta=0,True,,stop,4295,13432,17727,173.29873514175415,63311,False,finalize,False,1.0,10,1,2,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r1_v3_m0.txt,1,proof_meta_verify,candidate=10 round=1 verifier=3 meta=0,True,,stop,4318,15774,20092,229.92582941055298,70794,False,finalize,False,0.5,10,1,3,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r2_v0_m0.txt,1,proof_meta_verify,candidate=10 round=2 verifier=0 meta=0,True,,stop,3101,7072,10173,54.21846270561218,32524,False,finalize,False,1.0,10,2,0,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r2_v1_m0.txt,1,proof_meta_verify,candidate=10 round=2 verifier=1 meta=0,True,,stop,3156,9721,12877,88.49914741516113,42460,False,finalize,False,1.0,10,2,1,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r2_v2_m0.txt,1,proof_meta_verify,candidate=10 round=2 verifier=2 meta=0,True,,stop,3144,15572,18716,64.44964361190796,61563,False,finalize,False,1.0,10,2,2,0
/tmp/aimo-proof-pilot-inference-distributed/runs/imo2025-full-p36-r4-p2-sft750-handoff-priority-2node-20260718T184959Z/logs/rank_0000/llm_calls/1/cand_10_meta_r2_v3_m0.txt,1,proof_meta_verify,candidate=10 round=2 verifier=3 meta=0,True,,stop,3341,15878,19219,196.8399920463562,63266,False,finalize,False,1.0,10,2,3,0
